player,position,age,Guarantee,AAV,Agent,oWAR,G,PA,AB,HR,SO,OPS_,dWAR
Albert Pujols,dh-1b,42.166,2500000,2500000,MVP Spts,-0.3,279,1004,918,46,138,89,-1.3
Nelson Cruz,dh-rf,42,15000000,15000000,Bryce Dixon,8.7,313,1319,1152,89,315,152,-2.5
Nelson Cruz,dh-rf,41.001,13000000,13000000,Bryce Dixon,8.9,317,1326,1158,94,311,154,-2.4
Yadier Molina,c,38.354,9000000,9000000,MDR Sports,3.7,278,1111,1023,34,145,94,1.3
Kurt Suzuki,c,38.27,1750000,1750000,MVP Spts,2.3,190,685,610,25,99,94,-0.9
Jed Lowrie,2b,38.075,850000,850000,Excel,1.3,148,520,464,14,112,98,-1.5
Robinson Chirinos,c,38.027,900000,900000,MDR Spts,2.8,185,631,537,23,182,96,1.5
Nelson Cruz,dh,38,14300000,14300000,Bryce Dixon,12.1,454,1903,1664,119,421,144,-3.8
Brett Gardner,lf,37.312,5150000,2525000,Pro Star,6,330,1317,1151,45,250,104,2
Kurt Suzuki,c,37.271,1500000,1500000,MVP Sports,4.2,223,826,738,31,98,106,-0.2
Hunter Pence,rf,37,3000000,3000000,Beverly Hill,2.1,314,1103,1014,35,230,92,-2.6
Ian Kinsler,2b,37,8000000,4000000,BBI Sports,7.7,420,1826,1656,64,265,101,3.6
Jarrod Dyson,lf-cf,36.321,1500000,1500000,ACES,-1.1,229,755,667,9,131,55,2.1
Justin Turner,3b,36.221,34000000,17000000,GEM Agency,10.5,280,1150,994,45,168,138,-0.1
Brett Gardner,lf,36,12500000,12500000,Pro Star,8.2,432,1841,1615,61,337,103,3.7
Robinson Chirinos,c,36,6750000,6750000,MDR Sports,7,315,1172,989,52,344,107,3.1
Howie Kendrick,lf-2b,36,6250000,6250000,Reynolds Spo,5.1,252,864,791,30,146,128,-1.1
Nick Markakis,rf,36,4000000,4000000,Jamie Murphy,4.8,438,1844,1630,31,249,103,-2.4
Alex Gordon,lf,36,4000000,4000000,Excel,0.8,439,1742,1538,35,350,84,0.5
Steve Pearce,1b-lf,36,6250000,6250000,Excel,5,253,901,792,37,163,122,-2.2
David Freese,3b-1b,36,4500000,4500000,CAA,4.8,384,1307,1143,34,330,107,1
Jeff Mathis,c,36,6250000,3125000,Jet Sports,-1.1,170,553,507,5,163,52,2.6
Mitch Moreland,1b-dh,35.299,2250000,2250000,Paragon Spor,3.1,257,946,838,44,208,111,-0.2
Andrew McCutchen,lf,35.264,8500000,8500000,Aegis Sports,4.1,260,1077,918,47,235,109,-1.9
Carlos Santana,1b-dh,35.085,17500000,8750000,Wasserman,6.8,379,1620,1339,66,244,117,-1.1
Brandon Belt,1b,35.072,18400000,18400000,Excel,5.8,304,1176,1000,55,266,129,-2.1
Ryan Zimmerman,1b,35,2000000,2000000,CAA,1.2,137,513,459,19,94,105,0.3
